Month,Department,AI_Value_Score,Adoption_Rate_Pct,Open_Critical_Findings,Governance_Readiness_Pct
2025-07-01,Statistical Programming,60.0,45.9,6,56.2
2025-07-01,Data Management,61.1,42.0,7,60.7
2025-07-01,Biostatistics,63.0,43.1,7,58.7
2025-07-01,Medical Writing,66.2,42.2,6,59.4
2025-07-01,Clinical Operations,65.3,43.6,5,55.4
2025-07-01,Safety/PV,66.3,44.3,5,58.5
2025-07-01,Regulatory Affairs,72.3,44.4,4,56.9
2025-07-01,Quality Assurance,73.9,45.3,5,57.0
2025-08-01,Statistical Programming,60.0,46.6,7,59.4
2025-08-01,Data Management,63.9,51.7,5,60.8
2025-08-01,Biostatistics,66.2,49.2,4,61.2
2025-08-01,Medical Writing,70.7,44.4,6,61.2
2025-08-01,Clinical Operations,68.7,55.0,6,58.6
2025-08-01,Safety/PV,72.1,50.7,5,62.4
2025-08-01,Regulatory Affairs,73.9,51.0,7,59.6
2025-08-01,Quality Assurance,76.4,47.6,6,58.6
2025-09-01,Statistical Programming,62.8,52.4,5,66.3
2025-09-01,Data Management,63.4,50.6,5,60.0
2025-09-01,Biostatistics,67.1,52.7,6,65.4
2025-09-01,Medical Writing,69.3,51.9,4,67.0
2025-09-01,Clinical Operations,71.1,52.1,5,63.8
2025-09-01,Safety/PV,73.6,49.7,4,63.1
2025-09-01,Regulatory Affairs,78.3,55.0,4,65.3
2025-09-01,Quality Assurance,77.3,56.2,4,65.2
2025-10-01,Statistical Programming,63.4,58.0,7,62.9
2025-10-01,Data Management,67.4,54.3,9,71.5
2025-10-01,Biostatistics,68.3,55.1,9,68.0
2025-10-01,Medical Writing,71.6,56.4,9,68.0
2025-10-01,Clinical Operations,71.9,56.8,9,64.9
2025-10-01,Safety/PV,76.5,54.4,9,67.4
2025-10-01,Regulatory Affairs,78.2,55.2,8,63.0
2025-10-01,Quality Assurance,77.7,58.1,6,68.7
2025-11-01,Statistical Programming,64.5,63.3,7,71.6
2025-11-01,Data Management,70.3,56.4,9,72.9
2025-11-01,Biostatistics,71.9,60.2,7,68.0
2025-11-01,Medical Writing,76.2,59.4,7,68.4
2025-11-01,Clinical Operations,74.7,57.2,9,69.7
2025-11-01,Safety/PV,79.9,61.0,7,69.3
2025-11-01,Regulatory Affairs,78.9,61.0,7,69.4
2025-11-01,Quality Assurance,79.2,58.6,9,68.7
2025-12-01,Statistical Programming,55.9,66.0,8,52.1
2025-12-01,Data Management,59.6,63.1,5,56.5
2025-12-01,Biostatistics,62.0,65.2,6,55.9
2025-12-01,Medical Writing,62.9,64.6,5,52.6
2025-12-01,Clinical Operations,68.7,63.5,7,54.9
2025-12-01,Safety/PV,67.1,63.5,7,54.4
2025-12-01,Regulatory Affairs,69.7,65.1,8,56.4
2025-12-01,Quality Assurance,72.8,63.3,5,56.9
2026-01-01,Statistical Programming,61.9,48.6,8,59.6
2026-01-01,Data Management,63.7,51.8,7,61.0
2026-01-01,Biostatistics,61.5,51.6,8,59.7
2026-01-01,Medical Writing,69.8,53.5,6,54.6
2026-01-01,Clinical Operations,69.6,46.0,7,59.7
2026-01-01,Safety/PV,66.7,42.7,8,58.1
2026-01-01,Regulatory Affairs,71.5,49.1,7,55.0
2026-01-01,Quality Assurance,73.7,46.1,6,59.0
2026-02-01,Statistical Programming,61.9,54.2,6,59.7
2026-02-01,Data Management,62.0,50.3,7,59.4
2026-02-01,Biostatistics,66.7,54.0,9,58.2
2026-02-01,Medical Writing,69.8,52.7,6,58.1
2026-02-01,Clinical Operations,69.1,55.2,6,61.2
2026-02-01,Safety/PV,71.4,56.5,6,56.6
2026-02-01,Regulatory Affairs,72.6,47.1,3,59.9
2026-02-01,Quality Assurance,78.7,53.1,5,59.1
2026-03-01,Statistical Programming,66.3,57.5,6,63.9
2026-03-01,Data Management,66.1,59.4,6,64.4
2026-03-01,Biostatistics,65.9,58.5,5,66.2
2026-03-01,Medical Writing,67.5,56.6,5,61.4
2026-03-01,Clinical Operations,75.4,61.4,5,65.5
2026-03-01,Safety/PV,74.8,49.2,6,63.9
2026-03-01,Regulatory Affairs,76.2,53.8,5,63.6
2026-03-01,Quality Assurance,80.4,58.0,5,67.1
2026-04-01,Statistical Programming,64.9,59.8,3,70.1
2026-04-01,Data Management,69.9,63.8,5,67.2
2026-04-01,Biostatistics,70.4,60.2,4,67.1
2026-04-01,Medical Writing,75.0,62.7,4,65.8
2026-04-01,Clinical Operations,72.7,65.8,5,67.1
2026-04-01,Safety/PV,75.3,57.7,4,68.7
2026-04-01,Regulatory Affairs,77.2,60.3,4,67.2
2026-04-01,Quality Assurance,76.8,60.3,4,68.8
2026-05-01,Statistical Programming,66.5,66.7,10,69.4
2026-05-01,Data Management,68.8,65.6,8,68.0
2026-05-01,Biostatistics,72.9,71.0,8,69.6
2026-05-01,Medical Writing,71.9,66.0,7,67.8
2026-05-01,Clinical Operations,78.6,62.3,10,73.0
2026-05-01,Safety/PV,78.5,66.7,10,69.6
2026-05-01,Regulatory Affairs,78.8,60.9,9,73.0
2026-05-01,Quality Assurance,83.9,62.2,8,69.0
2026-06-01,Statistical Programming,58.6,68.4,8,55.6
2026-06-01,Data Management,59.4,68.9,8,54.8
2026-06-01,Biostatistics,63.0,74.6,8,55.1
2026-06-01,Medical Writing,60.6,70.2,6,52.2
2026-06-01,Clinical Operations,67.7,71.1,7,51.6
2026-06-01,Safety/PV,67.3,67.0,8,59.5
2026-06-01,Regulatory Affairs,70.4,66.7,6,54.9
2026-06-01,Quality Assurance,71.6,65.5,8,52.7
